circulating_supply,id,last_updated,market_cap,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price,rank,symbol,total_supply,volume_24h,website_slug
522694673.0,2620,1531081965.0,9361305.0,,Switcheo,0.9,7.19,8.74,0.0179097,463,SWTH,1000000000.0,75536.0,switcheo
,2621,1531081965.0,,,Consensus,0.07,-6.22,0.65,0.0152859,1481,SEN,1650000000.0,22480.7,consensus
197269666.0,2624,1531081965.0,6020059.0,,Sentinel Chain,1.28,-3.01,-10.46,0.0305169,555,SENC,500000000.0,545756.0,sentinel-chain
230749949.0,2625,1531081965.0,3502438.0,,Vice Industry Token,0.98,21.71,24.41,0.0151785,665,VIT,4000000000.0,15798.5,vice-industry-token
509284345.0,2626,1531081964.0,7349941.0,,Friendz,0.36,5.72,6.24,0.0144319,510,FDZ,1142645649.0,431654.0,friends
15443797.0,2627,1531081964.0,71528410.0,25000000.0,TokenPay,0.32,4.84,7.32,4.63153,121,TPAY,19275880.0,525026.0,tokenpay
301464482.0,2628,1531081966.0,6250354.0,,Rentberry,-3.32,-0.1,3.92,0.0207333,544,BERRY,301473028.0,17226.1,rentberry
2982832499.0,2629,1531081966.0,1209082.0,21000000000.0,Stellite,0.09,3.31,4.86,0.000405347,828,XTL,3108832499.0,14835.0,stellite
1506457130.0,2630,1531081966.0,6138240.0,,PolySwarm,0.71,-1.77,7.37,0.00407462,546,NCT,1885913076.0,64171.2,polyswarm
177682511.0,2631,1531081964.0,60311485.0,,ODEM,-0.91,1.49,38.7,0.339434,144,ODE,268946131.0,1325340.0,odem
,2632,1531081965.0,,,Monero Original,-0.72,0.62,-6.01,3.61778,1493,XMO,16209522.0,6470.01,monero-original
69367158.0,2633,1531081965.0,30274672.0,,Stakenet,-5.05,-6.58,-11.17,0.436441,231,XSN,79515521.0,121667.0,stakenet
3660789521.0,2634,1531081963.0,15957382.0,,XinFin Network,0.1,1.54,3.14,0.004359,351,XDCE,15000000000.0,203437.0,xinfin-network
10278325.0,2635,1531081964.0,315166.0,,TokenDesk,0.49,-1.93,-22.73,0.0306632,933,TDS,14683321.0,112475.0,tokendesk
4948463.0,2636,1531054885.0,995235.0,,BelugaPay,,19.21,43.92,0.20112,1050,BBI,60793471.0,,belugapay
115038415.0,2637,1531081964.0,4173433.0,,Fidelium,0.12,3.31,9.05,0.0362786,630,FID,191421673.0,18777.8,fidelium
149792458.0,2638,1531081966.0,118917386.0,,Cortex,-0.23,2.91,5.77,0.793881,84,CTXC,299792458.0,15019200.0,cortex
,2639,1531081964.0,,,Arbitracoin,0.12,-0.54,60.0,0.00810695,1496,ATC,131901470.0,4730.09,arbitracoin
3578267.0,2640,1531081963.0,175772.0,,WCOIN,0.07,-37.17,10.87,0.0491221,1200,WIN,56642699.0,166.543,wawllet
429165254.0,2641,1531081963.0,29290657.0,,Apex,0.05,10.44,12.67,0.0682503,243,CPX,676989090.0,1279710.0,apex
1051353285.0,2642,1531081965.0,60881451.0,,CyberVein,1.2,3.56,6.8,0.0579077,142,CVT,2147483648.0,310847.0,cybervein
1999999999.0,2643,1531081965.0,14596000.0,,Sentinel,0.55,5.56,21.91,0.007298,371,SENT,2000000000.0,277597.0,sentinel
660755177.0,2644,1531081965.0,45742627.0,,eosDAC,0.22,3.86,-5.48,0.0692278,171,EOSDAC,1200000000.0,229180.0,eosdac
5892573645.0,2645,1531081963.0,14467152.0,,U Network,2.4,4.38,-2.81,0.00245515,374,UUU,10000000000.0,1686240.0,u-network
107721314.0,2646,1531081963.0,5491870.0,,AdHive,0.27,2.29,24.59,0.0509822,574,ADH,392000000.0,323799.0,adhive
,2647,1531081965.0,,,SnipCoin,0.39,5.86,9.19,0.000510869,1474,SNIP,10000000000.0,31056.7,snipcoin
895965836.0,2648,1531081964.0,289832.0,,Bitsum,-12.53,-6.29,-1.58,0.000323486,937,BSM,1844674407.0,1931.39,bitsum
2435051.0,2649,1531081965.0,3618169.0,88000000.0,DeviantCoin,-6.89,-6.49,-31.77,1.48587,658,DEV,6280920.0,84412.4,deviantcoin
173256686.0,2650,1531081966.0,3899506.0,,CommerceBlock,-1.17,-2.57,4.43,0.0225071,645,CBT,743256686.0,36017.6,commerceblock
11467373.0,2651,1531081965.0,262391.0,,GreenMed,0.12,-13.57,-31.38,0.0228815,940,GRMD,14899993.0,8027.93,greenmed
,2652,1531081964.0,,,Curriculum Vitae,2.51,-9.31,-25.01,0.0051303,1531,CVH,1900000000.0,203.063,curriculum-vitae
16697784.0,2653,1531081963.0,2670994.0,,Auctus,0.08,7.68,3.79,0.159961,717,AUC,65829658.0,9110.43,auctus
,2654,1531081963.0,,,Budbo,0.08,13.98,-10.71,0.0196046,1509,BUBO,200000000.0,2381.53,budbo
,2655,1531081965.0,,18400000.0,Monero Classic,0.02,0.83,-5.25,3.62286,1466,XMC,16016864.0,50746.5,monero-classic
34566521.0,2656,1531081966.0,1398917.0,,Daneel,1.31,-1.48,-2.17,0.0404703,803,DAN,69320719.0,103823.0,daneel
619267130.0,2657,1531081963.0,20831403.0,,BrahmaOS,0.07,-15.66,54.41,0.0336388,295,BRM,3000000000.0,74596.3,brahmaos
138707035.0,2658,1531081963.0,1232638.0,,SyncFab,0.14,-0.6,3.4,0.00888663,824,MFG,950000000.0,1486.49,syncfab
,2659,1531081965.0,,,Dignity,-2.97,-2.33,5.52,0.118356,1402,DIG,3000000000.0,1106040.0,dignity
234110888.0,2660,1531081965.0,2725191.0,,Aditus,0.81,-9.5,-42.01,0.0116406,718,ADI,750000000.0,496774.0,aditus
,2661,1531081963.0,,,Tripio,-0.21,0.35,-1.27,0.0106503,1384,TRIO,5000000000.0,2592310.0,tripio
3404436.0,2662,1531081966.0,2897972.0,,Haven Protocol,0.82,1.92,-7.81,0.851234,697,XHV,3404436.0,22618.8,haven-protocol
,2663,1531081966.0,,,StarCoin,-0.0,-7.0,37.04,0.0233063,1422,KST,877631077.0,557658.0,starcointv
4551936.0,2664,1531081963.0,1057729.0,,CryCash,15.36,16.77,0.54,0.232369,1046,CRC,7057137.0,164.016,crycash
2904546.0,2665,1531081965.0,2503536.0,,Dero,-4.1,-13.03,-24.1,0.861937,730,DERO,18400000.0,30410.2,dero
206668526.0,2666,1531081966.0,5437511.0,,Effect.AI,0.27,-2.49,15.97,0.0263103,577,EFX,650000000.0,195148.0,effect-ai
55428631.0,2667,1531081965.0,2160824.0,,FintruX Network,0.02,3.77,4.94,0.0389839,757,FTX,100000000.0,63671.3,fintrux-network
205300250.0,2668,1531081966.0,784421.0,,Earth Token,0.15,6.41,10.78,0.00382085,867,EARTH,750000000.0,92679.3,earth-token
443351413.0,2669,1531081965.0,22008230.0,,MARK.SPACE,-2.39,1.56,38.39,0.0496406,285,MRK,3000000000.0,1639660.0,mark-space
,2670,1531081966.0,,,Pixie Coin,0.07,4.53,,0.00189104,1444,PXC,10000000000.0,203426.0,pixie-coin
,2671,1531081965.0,,100000000.0,Cropcoin,0.53,-3.54,18.29,0.00501922,1517,CROP,31455060.0,1137.84,cropcoin
5052048084.0,2672,1531081965.0,7838455.0,,SRCOIN,1.5,-8.45,92.69,0.00155154,496,SRCOIN,15000000000.0,1812900.0,srcoin
58255765.0,2673,1531081965.0,1779993.0,,Chainium,0.1,5.41,6.8,0.0305548,782,CHX,168956522.0,12702.0,chainium
6275943.0,2674,1531081965.0,2196944.0,18500000.0,Masari,-4.15,2.73,48.48,0.350058,753,MSR,6275943.0,4959.73,masari
384085061.0,2675,1531081964.0,20293057.0,,Dock,0.15,12.71,37.02,0.0528348,301,DOCK,1000000000.0,1270340.0,dock
4997395.0,2676,1531081965.0,1267609.0,,PHI Token,0.04,2.0,8.58,0.253654,1038,PHI,14109443.0,78.6867,phi-token
112776150.0,2677,1531081964.0,3504699.0,,Linker Coin,0.12,1.11,-21.36,0.0310766,664,LNC,500000000.0,2592.4,linker-coin
,2678,1531081966.0,,,TraDove B2BCoin,-0.02,-0.61,16.68,0.0230261,1454,BBC,393192965.0,124544.0,b2bcoin
,2679,1531081964.0,,,Decentralized Machine Learning,0.07,-4.8,-12.06,0.0153064,1516,DML,272937007.0,1257.34,decentralized-machine-learning
547522129.0,2680,1531081966.0,4241063.0,,Helbiz,-0.43,2.24,5.52,0.00774592,626,HBZ,1005250000.0,1086170.0,helbiz
4225879.0,2681,1531081966.0,613145.0,,Origami,0.07,-8.27,42.87,0.145093,896,ORI,5527379.0,818.523,origami
133214575156.0,2682,1531081965.0,63753831.0,,Holo,0.17,7.64,17.45,0.00047858,137,HOT,177619433541.0,672326.0,holo
83621443.0,2683,1531081964.0,1863855.0,,TrakInvest,0.07,7.51,6.99,0.0222892,1023,TRAK,155294118.0,377.892,trakinvest
36536301.0,2684,1531081963.0,6685851.0,,Aphelion,0.64,-2.48,19.13,0.182992,528,APH,70188440.0,199068.0,aphelion
470992683.0,2685,1531081964.0,19040068.0,1000000000.0,Zebi,-0.26,-4.19,-10.88,0.0404254,313,ZCO,500000000.0,253964.0,zebi
591472963.0,2686,1531081963.0,3762046.0,,Lendingblock,0.46,-1.01,-9.69,0.00636047,653,LND,1000000000.0,10668.9,lendingblock
198240350.0,2687,1531081964.0,12539118.0,,Proxeus,0.18,5.03,2.7,0.0632521,401,XES,300000000.0,303379.0,proxeus
,2688,1531081966.0,,,Vipstar Coin,0.12,23.97,17.39,0.000405358,1483,VIPS,60078425394.0,19452.1,vipstar-coin
,2689,1531081964.0,,,Rublix,0.06,3.29,5.25,0.208533,1446,RBLX,100000000.0,200012.0,rublix
30900316.0,2690,1531081964.0,1060029.0,,Biotron,-0.1,4.74,26.59,0.0343048,843,BTRN,1000000000.0,56361.9,biotron
,2691,1531081963.0,,100000000000.0,Penta,1.17,-0.69,-4.91,0.00670951,1376,PNT,50000000000.0,6788650.0,penta
1162684117.0,2692,1531081966.0,7176865.0,,Nebula AI,-2.18,-2.0,-4.7,0.00617267,514,NBAI,4770681725.0,139081.0,nebula-ai
,2693,1531081966.0,,,Loopring [NEO],0.01,-4.67,-27.17,0.358682,1437,LRN,139507605.0,282333.0,loopring-neo
560000010.0,2694,1531081965.0,61944401.0,,Nexo,0.4,3.27,6.54,0.110615,140,NEXO,1000000000.0,902366.0,nexo
163916023.0,2695,1531081964.0,3424779.0,,VeriME,0.08,-1.8,-9.87,0.0208935,669,VME,400000000.0,162978.0,verime
370300000.0,2696,1531081966.0,35672591.0,,DAEX,0.11,19.14,45.96,0.0963343,209,DAX,2000000000.0,10875600.0,daex
3062538428.0,2698,1531081966.0,18549550.0,,Hydrogen,0.03,6.94,116.58,0.00605692,319,HYDRO,11111111111.0,221265.0,hydrogen
283282765.0,2699,1531081964.0,6037691.0,500000000.0,Sharder,-0.81,8.66,20.53,0.0213133,552,SS,350000000.0,136241.0,sharder
302062009.0,2701,1531081964.0,17523282.0,,TrustNote,0.11,-1.92,38.08,0.0580122,331,TTT,500000000.0,2434860.0,trustnote
18326892.0,2702,1531081964.0,36717744.0,22300000.0,Bitcoin Interest,-3.05,-0.33,17.46,2.00349,204,BCI,18326892.0,47548.8,bitcoin-interest
154938285.0,2703,1531081966.0,6688500.0,,BetterBetting,-0.5,6.21,-11.03,0.0431688,527,BETR,200585763.0,4234.9,betterbetting
35179544.0,2704,1531081965.0,729842.0,,Transcodium,0.92,36.32,32.03,0.0207462,876,TNS,88600000.0,238993.0,transcodium
154440559.0,2705,1531081964.0,981357.0,,Amon,0.14,-0.37,0.44,0.00635427,851,AMN,1209963685.0,26553.9,amon
5472115.0,2706,1531081966.0,388169.0,35000000.0,Plancoin,-0.98,-20.05,-9.82,0.0709358,926,PLAN,5472115.0,204620.0,plancoin
44730000.0,2707,1531081966.0,2087366.0,,FLIP,0.07,-1.78,6.27,0.0466659,1018,FLP,100000000.0,418.849,flip
448903600.0,2708,1531081964.0,13069918.0,,Crowd Machine,0.23,11.71,-3.61,0.0291152,390,CMCT,2000000000.0,1620820.0,crowd-machine
176560198.0,2709,1531081965.0,3943631.0,,Morpheus Labs,-0.07,4.27,7.66,0.0223359,643,MITX,800000000.0,778722.0,morpheus-labs
39722531.0,2710,1531081965.0,740666.0,,Live Stars,0.12,3.31,-28.97,0.018646,874,LIVE,54722996.0,23297.8,live-stars
295300790.0,2711,1531081965.0,70016703.0,,Docademic,-0.15,4.12,-6.49,0.237103,126,MTC,850000000.0,500326.0,docademic
,2712,1531081964.0,,,MyToken,0.58,3.54,-6.94,0.0124134,1426,MT,4000000000.0,488807.0,mytoken
,2713,1531081966.0,,,KEY,0.84,2.13,-4.9,0.00601866,1438,KEY,100000000000.0,256778.0,key
104212390574.0,2714,1531081965.0,47095976.0,180000000000.0,Nexty,1.17,-0.0,-27.52,0.000451923,168,NTY,180000000000.0,327665.0,nexty
112839768.0,2715,1531081966.0,685755.0,,ConnectJob,0.11,15.63,0.03,0.00607725,1078,CJT,166298157.0,234.086,connectjob
76615188.0,2717,1531081966.0,1253670.0,,BoutsPro,0.47,-4.44,-9.04,0.0163632,819,BOUTS,2000000000.0,27796.2,boutspro
376415982.0,2718,1531081965.0,6840043.0,,PolicyPal Network,-0.85,-0.95,-5.49,0.0181715,516,PAL,1000000000.0,551313.0,policypal-network
,2719,1531081966.0,,,Cybereits,-0.36,-6.15,-13.69,0.0187842,1413,CRE,1000000000.0,818429.0,cybereits
279760863.0,2720,1531081965.0,1858916.0,,Parkgene,-2.02,-11.83,-6.95,0.00664466,776,GENE,1000000000.0,46818.3,parkgene
2956349.0,2721,1531081966.0,2414468.0,,APR Coin,-2.9,0.66,-38.1,0.816706,737,APR,2956349.0,9806.7,apr-coin
,2722,1531081963.0,,,AC3,0.47,10.99,0.95,0.144065,1472,AC3,80123968.0,37171.9,ac3
730326443.0,2723,1531081965.0,23055091.0,,FuzeX,-3.23,2.29,-3.12,0.0315682,275,FXT,1087156610.0,30274.0,fuzex
187085884.0,2724,1531081967.0,3216100.0,1000000000.0,Zippie,0.13,8.67,-13.17,0.0171905,679,ZIPT,1000000000.0,261739.0,zippie
,2725,1531081966.0,,,Skrumble Network,-0.01,4.83,-7.55,0.0275431,1390,SKM,1500000000.0,1511480.0,skrumble-network
37136326.0,2726,1531081964.0,5819337.0,,DAOstack,0.15,-1.28,-1.63,0.156702,561,GEN,60000000.0,107066.0,daostack
239887951.0,2727,1531081964.0,20365360.0,,Bezant,0.83,6.67,15.08,0.0848953,300,BZNT,1000000000.0,854888.0,bezant
9927055.0,2729,1531081966.0,920994.0,,TokenStars,-0.08,5.08,,0.0927762,858,TEAM,17818682.0,168888.0,tokenstars
7522771319.0,2730,1531081966.0,73907.0,,Fitrova,0.07,5.46,-74.3,9.8244e-06,975,FRV,7588648240.0,20589.4,fitrova
32400050.0,2731,1531081966.0,2164916.0,,Utrum,7.08,31.72,-36.37,0.0668183,756,OOT,216000070.0,6603.81,utrum
824000000.0,2732,1531081967.0,38967372.0,,Aston,0.12,-4.97,-14.89,0.0472905,196,ATX,1000000000.0,73702.1,aston
,2733,1531081966.0,,,Freyrchain,0.12,2.7,10.62,0.0105058,1405,FREC,10000000000.0,1048350.0,freyrchain
,2734,1531081966.0,,,EduCoin,-0.06,4.25,8.84,0.00165273,1381,EDU,15000000000.0,3158570.0,edu-coin
,2735,1531081966.0,,,Content Neutrality Network,0.12,0.34,-0.68,0.00202312,1377,CNN,100000000000.0,4465620.0,content-neutrality-network
,2736,1531081965.0,,,InsurChain,0.3,-7.6,11.03,0.0020031,1389,INSUR,20000000000.0,1647110.0,insurchain
,2737,1531081966.0,,,Global Social Chain,-0.59,27.65,30.99,0.0767156,1403,GSC,1000000000.0,1090240.0,global-social-chain
,2738,1531081965.0,,,Super Game Chain,-0.06,-1.19,31.97,0.00249751,1396,SGCC,20000000000.0,1248320.0,super-game-chain
42373.0,2739,1531081964.0,1781592.0,,Digix Gold Token,0.07,2.56,0.79,42.0458,781,DGX,50200.0,642.969,digix-gold-token
,2740,1531081964.0,,,Influence Chain,-2.35,-1.72,-23.56,0.115213,1433,INC,1000000000.0,359555.0,influence-chain
,2741,1531081964.0,,,Intelligent Investment Chain,-2.21,0.78,-1.23,0.00306015,1428,IIC,21000000000.0,451515.0,intelligent-investment-chain
2582965294.0,2742,1531081965.0,36645045.0,,Sakura Bloom,-1.75,-4.38,282.7,0.0141872,205,SKB,6000000000.0,299691.0,sakura-bloom
6180917.0,2743,1531081966.0,119007.0,,Bank Coin,0.12,1.88,-0.51,0.019254,1236,BANK,15107218.0,417.784,bank-coin
